Source,Sex,age,kg,grade,price,p
LL survey,Female,2,1.3,Grade 1/2,$1.00,0.06964334798644828
LL survey,Female,3,1.6,Grade 2/3,$2.20,0.1807816188284768
LL survey,Female,4,1.8,Grade 2/3,$2.20,0.2809628920146049
LL survey,Female,5,2.1,Grade 2/3,$2.20,0.4459942466660569
LL survey,Female,6,2.4,Grade 3/4,$3.25,0.6007694438752875
LL survey,Female,7,2.7,Grade 3/4,$3.25,0.7330968687104189
LL survey,Female,8,3,Grade 4/5,$4.75,0.8433534797840327
LL survey,Female,9,3.2,Grade 4/5,$4.75,0.9048859214166227
LL survey,Female,10,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Female,11,3.7,Grade 5/7,$7.55,1
LL survey,Female,12,3.9,Grade 5/7,$7.55,1
LL survey,Female,13,4.1,Grade 5/7,$7.55,1
LL survey,Female,14,4.3,Grade 5/7,$7.55,1
LL survey,Female,15,4.5,Grade 5/7,$7.55,1
LL survey,Female,16,4.6,Grade 5/7,$7.55,1
LL survey,Female,17,4.8,Grade 5/7,$7.55,1
LL survey,Female,18,4.9,Grade 5/7,$7.55,1
LL survey,Female,19,5,Grade 7+,$8.05,1
LL survey,Female,20,5.1,Grade 7+,$8.05,1
LL survey,Female,21,5.2,Grade 7+,$8.05,1
LL survey,Female,22,5.3,Grade 7+,$8.05,1
LL survey,Female,23,5.4,Grade 7+,$8.05,1
LL survey,Female,24,5.5,Grade 7+,$8.05,1
LL survey,Female,25,5.6,Grade 7+,$8.05,1
LL survey,Female,26,5.7,Grade 7+,$8.05,1
LL survey,Female,27,5.7,Grade 7+,$8.05,1
LL survey,Female,28,5.8,Grade 7+,$8.05,1
LL survey,Female,29,5.8,Grade 7+,$8.05,1
LL survey,Female,30,5.9,Grade 7+,$8.05,1
LL survey,Female,31,5.9,Grade 7+,$8.05,1
LL survey,Male,2,1.2,Grade 1/2,$1.00,0.04587068111428325
LL survey,Male,3,1.4,Grade 2/3,$2.20,0.10000000000000002
LL survey,Male,4,1.7,Grade 2/3,$2.20,0.22906486739964405
LL survey,Male,5,1.9,Grade 2/3,$2.20,0.3352405551277401
LL survey,Male,6,2,Grade 2/3,$2.20,0.39066271919343054
LL survey,Male,7,2.2,Grade 3/4,$3.25,0.5
LL survey,Male,8,2.4,Grade 3/4,$3.25,0.6007694438752875
LL survey,Male,9,2.5,Grade 3/4,$3.25,0.6473670978085446
LL survey,Male,10,2.6,Grade 3/4,$3.25,0.6914689994839794
LL survey,Male,11,2.7,Grade 3/4,$3.25,0.7330968687104189
LL survey,Male,12,2.8,Grade 3/4,$3.25,0.7722724252966897
LL survey,Male,13,2.9,Grade 4/5,$4.75,0.8090173890516188
LL survey,Male,14,3,Grade 4/5,$4.75,0.8433534797840327
LL survey,Male,15,3.1,Grade 4/5,$4.75,0.8753024173027585
LL survey,Male,16,3.1,Grade 4/5,$4.75,0.8753024173027585
LL survey,Male,17,3.2,Grade 4/5,$4.75,0.9048859214166227
LL survey,Male,18,3.2,Grade 4/5,$4.75,0.9048859214166227
LL survey,Male,19,3.3,Grade 4/5,$4.75,0.9321257119344522
LL survey,Male,20,3.3,Grade 4/5,$4.75,0.9321257119344522
LL survey,Male,21,3.3,Grade 4/5,$4.75,0.9321257119344522
LL survey,Male,22,3.3,Grade 4/5,$4.75,0.9321257119344522
LL survey,Male,23,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,24,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,25,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,26,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,27,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,28,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,29,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,30,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Male,31,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Combined,2,1.2,Grade 1/2,$1.00,0.04587068111428325
LL survey,Combined,3,1.5,Grade 2/3,$2.20,0.13734828384672237
LL survey,Combined,4,1.7,Grade 2/3,$2.20,0.22906486739964405
LL survey,Combined,5,2,Grade 2/3,$2.20,0.39066271919343054
LL survey,Combined,6,2.3,Grade 3/4,$3.25,0.5516543178753817
LL survey,Combined,7,2.5,Grade 3/4,$3.25,0.6473670978085446
LL survey,Combined,8,2.7,Grade 3/4,$3.25,0.7330968687104189
LL survey,Combined,9,2.9,Grade 4/5,$4.75,0.8090173890516188
LL survey,Combined,10,3.1,Grade 4/5,$4.75,0.8753024173027585
LL survey,Combined,11,3.3,Grade 4/5,$4.75,0.9321257119344522
LL survey,Combined,12,3.4,Grade 4/5,$4.75,0.9570435086650737
LL survey,Combined,13,3.5,Grade 4/5,$4.75,0.979661031417314
LL survey,Combined,14,3.6,Grade 5/7,$7.55,1
LL survey,Combined,15,3.7,Grade 5/7,$7.55,1
LL survey,Combined,16,3.8,Grade 5/7,$7.55,1
LL survey,Combined,17,3.9,Grade 5/7,$7.55,1
LL survey,Combined,18,3.9,Grade 5/7,$7.55,1
LL survey,Combined,19,4,Grade 5/7,$7.55,1
LL survey,Combined,20,4,Grade 5/7,$7.55,1
LL survey,Combined,21,4.1,Grade 5/7,$7.55,1
LL survey,Combined,22,4.1,Grade 5/7,$7.55,1
LL survey,Combined,23,4.1,Grade 5/7,$7.55,1
LL survey,Combined,24,4.2,Grade 5/7,$7.55,1
LL survey,Combined,25,4.2,Grade 5/7,$7.55,1
LL survey,Combined,26,4.2,Grade 5/7,$7.55,1
LL survey,Combined,27,4.2,Grade 5/7,$7.55,1
LL survey,Combined,28,4.2,Grade 5/7,$7.55,1
LL survey,Combined,29,4.3,Grade 5/7,$7.55,1
LL survey,Combined,30,4.3,Grade 5/7,$7.55,1
LL survey,Combined,31,4.3,Grade 5/7,$7.55,1
